Designator,Mid X,Mid Y,Layer,Rotation
R229,68.89999900000001mm,19.799993mm,Top,270.0
R228,67.69999899999999mm,19.799993mm,Top,270.0
R226,66.499999mm,18.799993mm,Top,270.0
R225,65.299999mm,18.799993mm,Top,270.0
R224,64.099999mm,18.799993mm,Top,270.0
R223,62.899999mm,18.799993mm,Top,270.0
R222,66.499999mm,19.799993mm,Top,90.0
R221,65.299999mm,19.799993mm,Top,90.0
R220,64.099999mm,19.799993mm,Top,90.0
R219,62.899999mm,19.799993mm,Top,90.0
R218,64.699999mm,19.849993mm,Bottom,0.0
R217,61.699999mm,18.799993mm,Top,270.0
R216,60.499999mm,18.799993mm,Top,270.0
R215,59.299999mm,18.799993mm,Top,270.0
R214,58.099999mm,18.799993mm,Top,270.0
R213,61.729999mm,19.799993mm,Top,90.0
R212,60.499999mm,19.799993mm,Top,90.0
R211,59.299999mm,19.799993mm,Top,90.0
R210,58.099999mm,19.799993mm,Top,90.0
R208,56.899999mm,18.799993mm,Top,270.0
R207,55.699999mm,18.799993mm,Top,270.0
R206,54.499999mm,18.799993mm,Top,270.0
R205,53.299999mm,18.799993mm,Top,270.0
R204,56.899999mm,19.799993mm,Top,90.0
R203,55.699999mm,19.799993mm,Top,90.0
R202,54.499999mm,19.799993mm,Top,90.0
R201,53.299999mm,19.799993mm,Top,90.0
R142,63.200099mm,24.199993mm,Bottom,0.0
P106,74.69999899999999mm,32.599993mm,Top,270.0
P105,65.999999mm,32.799993mm,Top,270.0
P104,70.299999mm,32.499993mm,Top,270.0
P201,86.969999mm,18.299993mm,Top,90.0
P200,51.999999mm,17.799993mm,Top,90.0
P103,79.499999mm,32.499993mm,Top,180.0
P102,82.39999900000001mm,32.499993mm,Top,180.0
P101,85.39999900000001mm,32.499993mm,Top,180.0
P100,86.69999899999999mm,33.699993mm,Top,180.0
J100,78.675099mm,45.352993mm,Bottom,0.0
D100,54.925199mm,43.665493mm,Bottom,180.0
D205,90.599999mm,33.449993mm,Top,90.0
D207,83.89999900000001mm,22.599992999999998mm,Top,180.0
D206,79.099999mm,22.599992999999998mm,Top,180.0
D204,74.299999mm,22.599992999999998mm,Top,180.0
D203,69.499999mm,22.599992999999998mm,Top,180.0
D201,59.899999mm,22.599992999999998mm,Top,180.0
D200,55.099999mm,22.599992999999998mm,Top,180.0
D116,61.249999mm,35.399992999999995mm,Top,180.0
D115,57.049999mm,35.399992999999995mm,Top,180.0
D114,61.249999mm,37.199993mm,Top,180.0
D113,57.049999mm,37.199993mm,Top,180.0
D112,61.249999mm,38.999993mm,Top,180.0
D111,57.049999mm,38.999993mm,Top,180.0
D110,61.249999mm,40.799993mm,Top,180.0
D109,57.049999mm,40.799993mm,Top,180.0
D202,64.699999mm,22.599992999999998mm,Top,180.0
C143,87.999999mm,21.699993mm,Top,270.0
C144,89.19999899999999mm,21.699993mm,Top,90.0
C145,90.39999900000001mm,21.699993mm,Top,270.0
C146,91.599999mm,21.699993mm,Top,270.0
C112,61.399999mm,33.699993mm,Top,0.0
C111,54.899999mm,33.799993mm,Top,90.0
C117,88.38749899999999mm,40.999993mm,Bottom,270.0
C105,54.799999mm,46.599993mm,Bottom,180.0
C100,52.649999mm,46.599993mm,Bottom,0.0
C285,59.483098999999996mm,25.799993mm,Bottom,0.0
C280,62.816998999999996mm,25.799993mm,Bottom,180.0
C275,53.182999mm,25.799993mm,Bottom,0.0
C270,56.516999mm,25.799993mm,Bottom,180.0
C229,86.800099mm,18.799993mm,Bottom,270.0
C224,51.999999mm,19.399993mm,Top,90.0
C223,51.999999mm,23.649993000000002mm,Top,90.0
C222,51.999999mm,21.349992999999998mm,Bottom,90.0
C221,86.89999900000001mm,20.699993mm,Top,90.0
C220,69.500099mm,24.899993000000002mm,Bottom,180.0
C230,82.099999mm,22.699993mm,Bottom,270.0
C231,83.300099mm,22.699993mm,Bottom,270.0
C232,84.499999mm,22.699993mm,Bottom,270.0
C225,77.300099mm,22.699993mm,Bottom,270.0
C226,78.499999mm,22.699993mm,Bottom,270.0
C227,79.700099mm,22.699993mm,Bottom,270.0
C228,80.89999900000001mm,22.699993mm,Bottom,270.0
C216,72.499999mm,22.699993mm,Bottom,270.0
C217,73.700099mm,22.699993mm,Bottom,270.0
C218,74.89999900000001mm,22.699993mm,Bottom,270.0
C219,76.100099mm,22.699993mm,Bottom,270.0
C212,67.700099mm,22.699993mm,Bottom,270.0
C213,68.89999900000001mm,22.699993mm,Bottom,270.0
C214,70.100099mm,22.699993mm,Bottom,270.0
C215,71.299999mm,22.699993mm,Bottom,270.0
C204,58.099999mm,22.699993mm,Bottom,270.0
C205,59.300099mm,22.699993mm,Bottom,270.0
C206,60.499999mm,22.699993mm,Bottom,270.0
C207,61.700099mm,22.699993mm,Bottom,270.0
C200,53.300099mm,22.699993mm,Bottom,270.0
C201,54.499999mm,22.699993mm,Bottom,270.0
C202,55.700099mm,22.699993mm,Bottom,270.0
C203,56.899999mm,22.699993mm,Bottom,270.0
C195,64.950099mm,30.699993mm,Bottom,270.0
C190,79.44999899999999mm,30.999993mm,Bottom,0.0
C185,57.849999mm,30.699993mm,Bottom,270.0
C180,73.64999900000001mm,30.999993mm,Bottom,0.0
C175,67.850099mm,30.999993mm,Bottom,0.0
C170,85.250099mm,30.999993mm,Bottom,0.0
C142,91.599999mm,18.799993mm,Bottom,270.0
C141,90.39999900000001mm,18.799993mm,Bottom,270.0
C139,89.200099mm,18.799993mm,Bottom,90.0
C135,87.999999mm,18.799993mm,Bottom,270.0
C211,66.499999mm,22.699993mm,Bottom,270.0
C210,65.300099mm,22.699993mm,Bottom,270.0
C209,64.099999mm,22.699993mm,Bottom,270.0
C208,62.900099mm,22.699993mm,Bottom,270.0
C147,66.300099mm,42.099993mm,Bottom,90.0
F101,55.249999mm,55.449993000000006mm,Bottom,180.0
R134,65.300099mm,48.024992999999995mm,Bottom,0.0
R133,65.300099mm,49.199993000000006mm,Bottom,0.0
C133,65.300099mm,46.849993mm,Bottom,180.0
R131,72.474999mm,34.124993mm,Bottom,180.0
U101,54.999999mm,51.899992999999995mm,Top,270.0
R130,63.100099mm,39.799993mm,Bottom,90.0
R129,63.100099mm,35.699993mm,Bottom,90.0
Y101,68.39999900000001mm,49.699993000000006mm,Bottom,270.0
C116,68.69999899999999mm,47.799993mm,Bottom,180.0
C115,68.89999900000001mm,51.699993000000006mm,Bottom,180.0
C124,66.799999mm,37.649992999999995mm,Bottom,180.0
R121,66.300099mm,43.999993mm,Bottom,270.0
R106,73.675099mm,54.874993mm,Bottom,90.0
J101,62.419999mm,55.084993mm,Top,180.0
C129,66.799999mm,45.699993mm,Bottom,180.0
C128,76.000099mm,55.599993mm,Bottom,90.0
C121,75.075099mm,34.624993mm,Bottom,270.0
C118,80.175099mm,34.224993mm,Bottom,0.0
C110,87.050099mm,53.499993mm,Bottom,0.0
C109,87.300099mm,46.699993mm,Bottom,90.0
C108,87.349999mm,40.999993mm,Bottom,90.0
R105,87.900099mm,37.399992999999995mm,Bottom,180.0
R104,87.299999mm,44.199993mm,Bottom,90.0
R103,87.900099mm,36.399992999999995mm,Bottom,180.0
R125,82.19999899999999mm,37.099993mm,Bottom,180.0
C104,52.549999mm,54.349993mm,Bottom,90.0
C137,59.699999mm,52.099993mm,Bottom,180.0
D101,53.549999mm,48.399992999999995mm,Bottom,180.0
C101,63.249999mm,55.749993mm,Bottom,0.0
R102,91.999999mm,55.999993mm,Bottom,180.0
R101,61.200099mm,45.399992999999995mm,Bottom,270.0
D102,90.599399mm,54.443192999999994mm,Top,90.0
Y102,69.100099mm,42.199993mm,Bottom,90.0
R122,85.599999mm,37.099993mm,Bottom,90.0
R123,84.600099mm,37.099993mm,Bottom,90.0
R127,71.174999mm,55.274992999999995mm,Bottom,270.0
R128,73.975099mm,34.624993mm,Bottom,270.0
D106,61.249999mm,48.099993mm,Top,180.0
D105,61.249999mm,46.299993mm,Top,180.0
D107,63.049999mm,50.999993mm,Bottom,180.0
D104,61.249999mm,44.499993mm,Top,180.0
D103,61.249999mm,42.699993mm,Top,180.0
C140,66.300099mm,51.499993mm,Bottom,270.0
C132,68.800099mm,45.799993mm,Bottom,180.0
C136,68.999999mm,38.599993mm,Bottom,180.0
C127,66.450099mm,38.999993mm,Bottom,180.0
C138,58.074999mm,55.649992999999995mm,Bottom,270.0
C130,67.803199mm,33.250293mm,Bottom,0.0
C131,84.999999mm,34.099993mm,Bottom,90.0
C122,80.099999mm,55.299993mm,Bottom,180.0
C114,87.049999mm,52.499993mm,Bottom,180.0
C119,69.599999mm,55.599993mm,Bottom,180.0
C103,51.499999mm,54.349993mm,Bottom,90.0
C113,87.19999899999999mm,34.799993mm,Bottom,180.0
C102,56.699999mm,48.499993mm,Bottom,90.0
U105,76.924999mm,44.749993mm,Top,270.0
